iter	Passed	Remaining
0	1	99
1	1	87
2	2	81
3	3	75
4	3	74
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	13	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	13
86	81	12
87	82	11
88	87	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
