iter	Passed	Remaining
0	158	158099
1	159	79665
2	161	53507
3	162	40476
4	163	32608
5	165	27350
6	166	23675
7	168	20904
8	170	18722
9	171	16952
10	172	15510
11	173	14313
12	175	13292
13	176	12412
14	177	11651
15	178	10987
16	180	10442
17	181	9920
18	183	9455
19	184	9040
20	185	8669
21	187	8329
22	188	8016
23	190	7727
24	191	7471
25	192	7226
26	194	7013
27	196	6807
28	197	6611
29	198	6426
30	199	6248
31	201	6082
32	202	5930
33	203	5791
34	205	5660
35	206	5531
36	207	5412
37	210	5327
38	211	5221
39	213	5115
40	214	5017
41	215	4922
42	217	4832
43	218	4741
44	219	4656
45	220	4575
46	221	4499
47	223	4434
48	225	4371
49	226	4308
50	228	4243
51	229	4179
52	230	4118
53	231	4059
54	232	4002
55	234	3948
56	235	3898
57	237	3851
58	238	3808
59	240	3762
60	241	3714
61	242	3667
62	243	3622
63	244	3579
64	245	3537
65	247	3495
66	248	3457
67	250	3430
68	252	3402
69	253	3366
70	254	3331
71	255	3296
72	257	3264
73	258	3233
74	259	3201
75	260	3170
76	261	3138
77	263	3113
78	264	3087
79	266	3061
80	267	3034
81	268	3008
82	269	2976
83	270	2952
84	271	2927
85	273	2902
86	274	2877
87	275	2852
88	276	2831
89	277	2809
90	280	2806
91	282	2785
92	283	2764
93	285	2747
94	286	2728
95	288	2713
96	289	2696
97	290	2676
98	291	2656
99	293	2637
100	294	2621
101	296	2606
102	297	2589
103	298	2574
104	299	2556
105	301	2540
106	303	2529
107	304	2513
108	305	2496
109	306	2481
110	307	2465
111	309	2452
112	310	2438
113	312	2424
114	313	2410
115	314	2396
116	315	2381
117	316	2367
118	317	2353
119	318	2339
120	320	2324
121	321	2310
122	322	2297
123	323	2286
124	324	2274
125	326	2263
126	327	2250
127	328	2239
128	329	2227
129	331	2216
130	332	2203
131	333	2191
132	334	2179
133	335	2167
134	336	2156
135	337	2144
136	338	2135
137	340	2127
138	341	2117
139	343	2107
140	344	2097
141	345	2085
142	346	2076
143	347	2066
144	348	2056
145	349	2047
146	351	2037
147	352	2027
148	353	2018
149	354	2010
150	356	2001
151	357	1992
152	358	1983
153	359	1975
154	360	1965
155	361	1956
156	362	1946
